original_title,generated_title
Low-rank Optimization with Convex Constraints,['Low-rank approximation with rank constraints via convex envelopes']
Finite Sample Analysis of Approximate Message Passing Algorithms,['Concentration of Approximate Message Passing for High-Dimensional Regression']
"Questions about Boij-S\""oderberg theory","['Open questions and problems in Boij-S""oderberg theory']"
Three notes on Ser's and Hasse's representations for the zeta-functions,"[""Representations and Expansions of the Zeta-Functions Related to Ser's and Hasse's Series""]"
CAD model simplification error estimation for electrostatics problems,['Bounding the Energy Norm in CAD Models for Efficient Simulation']
How to flatten a soccer ball,['Flattened Soccer Balls']
"Tropicalization of theta characteristics, double covers, and Prym
  varieties",['Tropicalization of theta characteristics and the tropical Prym variety']
Level-set percolation for the Gaussian free field on a transient tree,['Level-set percolation of the Gaussian free field on trees']
Connectedness of spheres in Cayley graphs,['Connection thickness of spheres in Cayley graphs']
A moment-matching Ferguson and Klass algorithm,['A moment-matching FK algorithm for complete random measures']
"Locating Temporal Functional Dynamics of Visual Short-Term Memory
  Binding using Graph Modular Dirichlet Energy",['Modular Dirichlet Energy for Temporal Analysis of Visual Short-Term Memory Binding Tasks']
On the monoid generated by a Lucas sequence,['Monoids generated by Lucas sequences']
"Distance, Borders, and Time: The Diffusion and Permeability of Political
  Violence in North and West Africa",['A Mental Landscape for Understanding Political Violence in North and West Africa']
"Wars Without Beginning or End: Violent Political Organizations and
  Irregular Warfare in the Sahel-Sahara",['The Structure and Spatial Patterns of Political Organizations in the Sahel-Sahara']
"Local Adaption for Approximation and Minimization of Univariate
  Functions",['Guaranteed Locally Adaptive Algorithms for Univariate Function Approximation and Global Minimization']
"$W^{s,p}$-approximation properties of elliptic projectors on polynomial
  spaces, with application to the error analysis of a Hybrid High-Order
  discretisation of Leray-Lions problems","['Optimal $Ws,p$-approximation estimates for local polynomial spaces']"
"Pressure Driven Phase Transition in 1T-TiSe$_2$ , a MOIPT+DMFT Study",['Pressure Driven Superconductivity in 1T-TiSe 2']
"Astrocytic Ion Dynamics: Implications for Potassium Buffering and Liquid
  Flow",['Modeling ion dynamics in astrocytes: Implications for spatial potassium buffering and microscopic flow']
Finite dimensional groups of local diffeomorphisms,['Finitely generated virtually nilpotent groups of local biholomorphisms']
"Self-inversive polynomials, curves, and codes","['Self-inversive and self-reciprocal polynomials, reduction theory of binary forms, minimal models of curves, and formally self-dual codes']"
On the field of moduli of superelliptic curves,['On the Field of Moduli of Superelliptic Curves']
Degrees of Freedom of Cache-Aided Wireless Interference Networks,['Approximate Optimality of Caching and Delivery in Wireless Interference Networks']
Homology groups for particles on one-connected graphs,['Homology of configuration spaces for particles on one-connected graphs']
"Application of Facial Reduction to $H_\infty$ State Feedback Control
  Problem",['Facial reduction and numerical stability in $H_infty$ control problems']
Symmetries of projective spaces and spheres,['Wigner symmetry for products of real and complex inner product spaces']
"Weighted norm inequalities of (1,q)-type for integral and fractional
  maximal operators","[""Weighted norm inequalities for sublinear elliptic equations with nonnegative Green's function""]"
"Eulerian vs. Lagrangian analyses of pedestrian dynamics asymmetries in a
  staircase landing",['Querying homogeneous flow conditions: Asymmetric Pedestrian dynamics on a staircase landing']
"Limit theory for geometric statistics of point processes having fast
  decay of correlations",['Central limit theorems for geometric U-statistics of point processes with fast decay of correlations']
"The global non-linear stability of the Kerr-de Sitter family of black
  holes",['Global Non-linear Stability of the Kerr-de Sitter Black Hole']
"Spectral decomposition of fractional operators and a reflected stable
  semigroup",['Spectral decomposition of $mathcalC_0$-semigroups and their adjoints']
Modal-set estimation with an application to clustering,['Modal-set estimation and its applications']
"A Threshold-free Prospective Prediction Accuracy Measure for Censored
  Time to Event Data",['A Threshold-Free Summary Index for Predicting Time-Dependent Event Status']
"Order-2 Asymptotic Optimality of the Fully Distributed Sequential
  Hypothesis Test",['Asymptotic Optimality of Fully Distributed Sequential Hypothesis Testing in Graph-Based Sensor Networks']
A revised model of fluid transport optimization in Physarum polycephalum,['Flow-optimizing transport in the slime mold Physarum polycephalum']
"Context-Aware Proactive Content Caching with Service Differentiation in
  Wireless Networks",['Online Context-Aware Proactive Content Caching']
"Chiral Ordering Spin Associated Glass like State in SrRuO3SrIrO3
  Superlattice",['Spin Glass Behaviors in SrRuO3/SrIrO3 Heterostructure']
Recursive nonlinear-system identification using latent variables,['Learning Parsimonious Nonlinear Systems with Multiple Outputs and Inputs']
"Langevin Equation for a Dissipative Macroscopic Quantum System: Bohmian
  Theory versus Quantum Mechanics",['Langevin Equation for a Macroscopic Quantum Oscillator Coupled to a Large Number of Environmental Micro-oscillating Particles']
Downlink Performance of Superimposed Pilots in Massive MIMO systems,['Downlink Performance of Superimposed Pilots in Massive MIMO']
Linearity of Holographic Entanglement Entropy,['Entanglement entropy in holographic CFTs is not linear']
"Microsimulations of demographic changes in England and Wales under
  different EU referendum scenarios",['Stochastic microsimulations of the UK and EU population dynamics in the wake of Brexit']
"The QUAX-g_p g_s experiment to search for monopole-dipole Axion
  interaction",['QUAX-g$_p$g$_s$ experiment to search for macroscopic long-range force mediated by axion exchange']
"Ambiguities in one-dimensional phase retrieval from magnitudes of a
  linear canonical transform",['Ambiguities in the Fourier phase retrieval problem']
Absolutely Continuous Spectrum for Parabolic Flows/Maps,['Spectral properties of parabolic systems']
Strong analog classical simulation of coherent quantum dynamics,['Strong analog classical simulation of general quantum evolution']
Learning Optimal Interventions,['Identifying Good Interventions from Limited Data']
"Minimization of Akaike's Information Criterion in Linear Regression
  Analysis via Mixed Integer Nonlinear Program","[""Branch and Bound Search for Akaike's Information Criterion Minimization""]"
Optimal Liquidation under Partial Information with Price Impact,['Optimal Liquidation under Partial Information and Price Impact']
"Viscous Generalized Chaplygin Gas Interacting with f(R,T) gravity","['Interacting viscous generalized Chaplygin gas with $f(R,T)$ gravity']"
Cubic fourfolds fibered in sextic del Pezzo surfaces,['Rational cubic fourfolds fibered in sextic del Pezzo surfaces over the projective plane']
"Multi-feature combined cloud and cloud shadow detection in GaoFen-1 wide
  field of view imagery",['Automatic multi-feature combined cloud and cloud shadow detection in GF-1 wide field of view imagery']
Surpassing the Carnot Efficiency by extracting imperfect work,['Quantifying work in a small scale heat engine']
"Universal, Unsupervised (Rule-Based), Uncovered Sentiment Analysis",['UUUSA: Unsupervised Sentiment Analysis with Universal Dependencies']
Adding Context to Concept Trees,['Context-Aware Concept Trees']
"A Survey of Pansharpening Methods with A New Band-Decoupled Variational
  Model",['Nonlocal Pansharpening']
"The vacant set of two-dimensional critical random interlacement is
  infinite",['On the vacant set of two-dimensional critical random interlacements']
"Controlling hybrid nonlinearities in transparent conducting oxides via
  two-colour excitation",['Designing ultrafast material functionalities in conductive oxides by coupling between interband and intraband excitations']
N= 4 Supersymmetric Quantum Mechanical Model: Novel Symmetries,['Novel Symmetries of N=4 Supersymmetric Quantum Mechanics']
Some Novel Features in 2D Non-Abelian Theory: BRST Approach,['Novel Features of a Two-Dimensional Non-Abelian 1-Form Gauge Theory']
Archaeoastronomy and the chronology of the Temple of Jupiter at Baalbek,['On a possible unified project of the two podia of Jupiter at Baalbek']
"Bayesian design of experiments for generalised linear models and
  dimensional analysis with industrial and scientific application",['Bayesian Design of Experiments Using Gaussian Process Emulation']
On the boundary of the numerical range of some Jacobi operators,['On the boundary of the numerical range of some Jacobi operators']
Boundary Arm Exponents for SLE$(\kappa)$,['Boundary arm exponents for SLE and alternating half-plane arm exponents']
