original_titles,generated_titles
"On bounded-type thin local sets of the two-dimensional Gaussian free
  field",['On bounded-type thin local sets of the Gaussian free field']
The classification of Zamolodchikov periodic quivers,['Commuting Cartan matrices and Zamolodchikov periodicity in products of Dynkin diagrams']
Finite orbits for nilpotent actions on the torus,['Fixed points of homeomorphisms of $2$-torus diffeomorphisms']
Speed and structure of turbulent fronts in pipe flow,['Onset of strong and weak laminar-turbulent fronts in pipe flow']
"A Novel Method for the Extrinsic Calibration of a 2D Laser Rangefinder
  and a Camera",['Point-to-Plane Constraints for Extrinsically Calibrated 2D Laser Rangefinders']
"The Liouville theorem and the $L^2$ decay of the FENE dumbbell model of
  polymeric flows",['The $L2$ decay of the finite extensible nonlinear elastic dumbbell model in $dgeq 2$']
"Wellposedness and decay rates for the Cauchy problem of the
  Moore-Gibson-Thompson equation arising in high intensity ultrasound",['Frequency Expansion and Decay Rate for the Moore-Gibson-Thompson Equation in $mathbbRN$']
"Analysis of two- and three-dimensional fractional-order Hindmarsh-Rose
  type neuronal models",['Stability and Hopf bifurcations in two- and three-dimensional fractional-order Hindmarsh-Rose neuronal models']
"Group actions, non-K\""ahler complex manifolds and SKT structures",['Complex structures on principal bundles over complex manifolds']
The chromatic number of dense random graphs,['The chromatic number of dense random graphs']
"MasterPVA and WAlg: Mathematica packages for Poisson vertex algebras and
  classical affine $\mathcal{W}$-algebras",['MasterPVA and WAlg: Mathematica packages to compute lambda-brackets in Poisson vertex algebras']
Eta invariants and the hypoelliptic Laplacian,['Proper Ito calculus and orbital integrals for eta invariants on locally symmetric spaces']
"Characterizations of variational source conditions, converse results,
  and maxisets of spectral regularization methods",['On the Verification of Variational Source Condition']
A (Basis for a) Philosophy of a Theory of Fuzzy Computation,['A Philosophy of Fuzzy Computation']
Restricted rational Cherednik algebras,['Restricted rational Cherednik algebras']
"A Universal Coding Scheme for Remote Generation of Continuous Random
  Variables",['Universal Coding for Continuous Random Variable Generation']
"Multiplicity results and sign changing solutions of non-local equations
  with concave-convex nonlinearities",['Sign changing solutions for concave-convex nonlocal equations with homogeneous Dirichlet boundary conditions']
"Dynamic Modularity Approach to Adaptive Inner/Outer Loop Control of
  Robotic Systems",['Adaptive Outer Loop Control for Robotic Systems']
Bank distress in the news: Describing events through deep learning,['Textual Descriptions of Financial Risk Events']
Weak multiplier bimonoids,['Regular weak multiplier bimonoids in braided monoidal categories']
Efficient evaluation of scaled proximal operators,['Efficient computation of proximal operators of quadratic-support functions and applications']
"Particle acceleration in explosive relativistic reconnection events and
  Crab Nebula gamma-ray flares",['Particle Acceleration in Explosive Reconnection Events and Crab Nebula Gamma-Ray Flares']
Evaluating Generating Functions for Periodic Multiple Polylogarithms,['Chen-Fliess series and rational generating series for periodic multiple polylogarithms']
"Deflation as a Method of Variance Reduction for Estimating the Trace of
  a Matrix Inverse",['Deflation and Eigenvalue Computations in Lattice QCD']
A separable Fr\'echet space of almost universal disposition,"[""The Gurariui space is of almost universal disposition for finite-dimensional graded Fr'echet spaces""]"
A new multicomponent Poincar\'e-Beckner inequality,"[""A Poincar'e-Beckner type functional inequality for Radon measures""]"
"The number of linear transformations defined on a subspace with given
  invariant factors",['Counting linear transformations with given invariant factors']
A proof of security for a key-policy RS-ABE scheme,['A Key-Policy Revocable-Storage Attribute-Based Encryption Scheme']
"Admissible state and physical constraints preserving schemes for
  relativistic magnetohydrodynamic equations",['Admissible State and Physical-Constraints-Preserving Schemes for Relativistic Magnetohydrodynamics']
Operator algebras and vertex operator algebras,['Conformal nets from vertex operator algebras']
"Pilot Power Allocation Through User Grouping in Multi-Cell Massive MIMO
  Systems",['Channel Estimation Error Metric and Its Application to Multi-Cell Massive MIMO Systems']
Robust principal graphs for data approximation,['Robust principal graphs with trimmed energy functional']
"Solving generic nonarchimedean semidefinite programs using stochastic
  game algorithms",['Nonarchimedean Stochastic Games and Tropical Geometry']
On the biregular geometry of the Fulton-MacPherson compactification,['Automorphism groups of Fulton-MacPherson compactifications']
A simple approach to temporal cloaking,['A simple and general method for temporal cloaking']
Pre-Expansivity in Cellular Automata,['Expansivity and Pre-Expansivity for Cellular Automata']
An elementary introduction to quantum graphs,"['Spectral Theory of Schr""odinger Operator on Metric Graphs and Some Applications']"
Renormalized Volume,['Conformal hypersurface invariants and volume functionals']
On Perturbations of Stein Operator,['Stein operator for sum of $n$ independent random variables']
"Dynamics, Control, and Estimation for Aerial Robots Tethered by Cables
  or Bars",['Differential Flatness Characterization and Almost Global Convergent Nonlinear Control for Aerial Robots with Cables and Rigid Links']
"On the determinacy of the moment problem for symmetric algebras of a
  locally convex space",['Determinacy of the moment problem for linear functionals on symmetric algebras']
Using Simon's Algorithm to Attack Symmetric-Key Cryptographic Primitives,['Quantum-Oracle Access to Classical Cryptography']
An instability theorem for nonlinear fractional differential systems,['Instability of an equilibrium of nonlinear Caputo fractional differential systems']
"Invariance Principles for Dependent Processes Indexed by Besov Classes
  with an Application to a Hausman Test for Linearity",['Functional Central Limit Theorems for Absolutely Regular Mixing Processes']
The Lindeberg theorem for Gibbs-Markov dynamics,['Distributional limits for Gibbs-Markov dynamical systems']
Smooth analytic functions and model subspaces,['Smooth analytic functions and model subspaces on the disk']
A Polyhedral Study of the Static Probabilistic Lot-Sizing Problem,['Probabilistic Lot-Sizing Programs with Chance Constrained Programs']
Identification via the Broadcast Channel,['Identification Capacity Regions of Broadcast Channels']
Continuous 3D Label Stereo Matching using Local Expansion Moves,['Efficient 3D Stereo Matching Using Local Expansion Moves']
"Estimation of quadrature errors in layer potential evaluation using
  quadrature by expansion",['Accurate Error Estimates for Quadrature by Expansion of Layer Potentials']
"Reissner-Nordstr\""{o}m black holes statistical ensembles and first order
  thermodynamic phase transition","['Thermodynamic phase transition behavior of quantum perturbed Reissner-Nordstr""om black hole']"
Pointwise differentiability of higher order for sets,['Pointwise differentiability of higher order for Euclidean space']
"Optimal order quadrature error bounds for infinite-dimensional higher
  order digital sequences",['Optimal order Quasi-Monte Carlo rules for Sobolev spaces of arbitrary fixed smoothness']
Dynamical canonical systems and their explicit solutions,['Classical solutions of dynamical canonical systems']
"Fracture in multi-phase materials: why some microstructures are more
  critical than others",['Mechanisms of failure in ductile two-phase materials: alignment of voids']
Suita conjecture for a punctured torus,['Suita type results for once-punctured complex tori']
"Strong Well-Posedness for a Class of Dynamic Outflow Boundary Conditions
  for Incompressible Newtonian Flows",['Dynamic outflow boundary conditions for the Navier-Stokes equations in a halfspace']
"Quantum Size Effects in the Terahertz Nonlinear Response of Metallic
  Armchair Graphene Nanoribbons",['Quantum Size Effects on the Terahertz Response of Metallic Armchair Graphene Nanoribbons']
"Robust Uncalibrated Stereo Rectification with Constrained Geometric
  Distortions (USR-CGD)",['USR-CGD: Uncalibrated Stereo Image-Pair Rectification with Reduced Geometric Distortions']
A ParaBoost Stereoscopic Image Quality Assessment (PBSIQA) System,['ParaBoost Stereoscopic Image Quality Assessment']
"Spacecraft Attitude and Reaction Wheel Desaturation Combined Control
  Method",['Spacecraft Attitude and Reaction Wheel Momentum Management Using One Set of Spacecraft Actuators']
"Spectral sequences for Hochschild cohomology and graded centers of
  derived categories",['The characteristic homomorphism in Hochschild cohomology']
